user_id,visit_counts
/users/170270, 512
/users/25254, 454
/users/12631, 248
/users/66577, 248
/users/810438, 222
/users/499550, 188
/users/9287, 167
/users/65632, 162
/users/230541, 158
/users/13041, 155
/users/45469, 155
/users/119893, 145
/users/4732, 141
/users/378, 139
/users/14790466, 134
/users/259374, 128
/users/121766, 125
/users/376661, 123
/users/1162160, 122
/users/239676, 121
/users/952783, 119
/users/98681, 117
/users/50130, 115
/users/89353, 113
/users/1123322, 112
/users/39191, 110
/users/7659, 106
/users/845425, 106
/users/905434, 105
/users/19343, 105
/users/544954, 105
/users/7396, 105
/users/4723115, 105
/users/5502029, 102
/users/1299, 102
/users/9582, 102
/users/4303, 101
/users/110953, 100
/users/74385, 98
/users/546885, 94
/users/2, 94
/users/137, 93
/users/671378, 91
/users/81942, 90
/users/887, 90
/users/700826, 87
/users/5458997, 86
/users/999588, 86
/users/150330, 86
/users/853712, 86
/users/275871, 85
/users/92839, 85
/users/144427, 84
/users/617481, 82
/users/7288, 81
/users/94529, 81
/users/629429, 80
/users/639601, 79
/users/160562, 79
/users/133019, 77
/users/132895, 77
/users/105127, 76
/users/3044, 75
/users/3748, 74
/users/1365881, 74
/users/520208, 73
/users/31223, 73
/users/1833474, 73
/users/100200, 72
/users/579, 71
/users/29597, 71
/users/1383811, 70
/users/1254808, 70
/users/148100, 69
/users/432536, 69
/users/2603, 69
/users/718242, 68
/users/71256, 67
/users/872310, 67
/users/445208, 67
/users/97088, 66
/users/39759, 66
/users/13700, 65
/users/3390, 64
/users/283842, 64
/users/585534, 64
/users/286616, 63
/users/5435782, 63
/users/9982123, 63
/users/216296, 62
/users/470564, 62
/users/7150913, 61
/users/83844, 61
/users/10386605, 61
/users/60294, 61
/users/73359, 61
/users/4396759, 60
/users/47313, 60
/users/242242, 60
/users/54051, 59
/users/131818, 59
/users/67512, 59
/users/4624, 58
/users/125426, 58
/users/627915, 58
/users/1, 58
/users/17151892, 58
/users/2864371, 58
/users/869950, 58
/users/96947, 58
/users/238531, 58
/users/25395, 57
/users/1073082, 57
/users/8530623, 57
/users/934293, 57
/users/326742, 56
/users/169110, 56
/users/829734, 55
/users/10319897, 55
/users/285292, 54
/users/282964, 54
/users/954279, 54
/users/1909539, 54
/users/2058167, 54
/users/10111, 53
/users/7525670, 53
/users/311752, 53
/users/10412193, 53
/users/1976330, 53
/users/50838, 53
/users/425687, 53
/users/1615, 52
/users/456674, 52
/users/172808, 52
/users/192974, 52
/users/2702526, 52
/users/58962, 51
/users/99931, 51
/users/8225057, 51
/users/334725, 51
/users/659178, 51
/users/17579, 50
/users/70011, 50
/users/80, 50
/users/1748143, 50
/users/17978187, 50
/users/307871, 50
/users/1521451, 50
/users/7525026, 50
/users/15000, 50
/users/326885, 50
/users/200121, 50
/users/825088, 50
/users/114509, 50
/users/398893, 49
/users/241138, 49
/users/1166785, 49
/users/1019875, 49
/users/103882, 49
/users/479538, 49
/users/1820292, 49
/users/72159, 49
/users/15367484, 49
/users/463230, 49
/users/10355, 49
/users/745431, 48
/users/49051, 48
/users/70, 48
/users/1627211, 48
/users/4, 48
/users/14931730, 48
/users/239742, 48
/users/6152277, 48
/users/23610, 48
/users/2503423, 48
/users/227486, 47
/users/495647, 47
/users/6511, 47
/users/244586, 47
/users/643505, 47
/users/528677, 47
/users/1088987, 47
/users/287255, 47
/users/707462, 47
/users/231686, 46
/users/6820, 46
/users/192891, 46
/users/51505, 46
/users/21, 45
/users/131967, 45
/users/90512, 45
/users/1163916, 45
/users/1243901, 45
/users/39411, 45
/users/196390, 45
/users/772, 45
/users/474988, 45
/users/4433, 45
/users/83575, 45
/users/598730, 45
/users/154613, 45
/users/2718714, 45
/users/836692, 44
/users/5513065, 44
/users/11367, 44
/users/3624098, 44
/users/425716, 44
/users/8473629, 44
/users/2289, 44
/users/13516, 44
/users/647, 44
/users/3817366, 44
/users/47249, 44
/users/349621, 44
/users/1342803, 44
/users/910753, 44
/users/2818758, 43
/users/830973, 43
/users/237985, 43
/users/709159, 43
/users/173661, 43
/users/47046, 43
/users/1786033, 43
/users/474794, 43
/users/10328430, 43
/users/23123, 43
/users/364903, 43
/users/609125, 43
/users/18315, 42
/users/1223348, 42
/users/71047, 42
/users/8057201, 42
/users/5047891, 42
/users/1478800, 42
/users/1114542, 42
/users/7171, 42
/users/68273, 42
/users/694063, 42
/users/2467194, 42
/users/5750, 42
/users/6597997, 42
/users/165401, 41
/users/2946214, 41
/users/2346725, 41
/users/1097232, 41
/users/985197, 41
/users/55347, 41
/users/813492, 41
/users/12475110, 41
/users/5310542, 40
/users/379918, 40
/users/601283, 40
/users/2301114, 40
/users/1820165, 40
/users/27985, 40
